city,state_id,lat,lng
Huntington Beach,CA,33.6960,-118.0018
Clarksville,TN,36.5692,-87.3413
Santa Barbara,CA,34.4285,-119.7202
Glendale,CA,34.1819,-118.2468
Sunrise Manor,NV,36.1783,-115.0487
Grand Prairie,TX,32.6871,-97.0208
Overland Park,KS,38.8870,-94.6870
Hagerstown,MD,39.6401,-77.7217
Nampa,ID,43.5844,-116.5638
Gastonia,NC,35.2494,-81.1854
Frisco,TX,33.1560,-96.8216
Cedar Rapids,IA,41.9662,-91.6783
Hemet,CA,33.7341,-116.9969
Paradise,NV,36.0872,-115.1355
Sioux Falls,SD,43.5396,-96.7311
Vancouver,WA,45.6366,-122.5967
Peoria,AZ,33.7843,-112.2989
Waco,TX,31.5599,-97.1882
Lorain,OH,41.4409,-82.1840
Erie,PA,42.1167,-80.0733
Newport News,VA,37.1051,-76.5185
Aurora,IL,41.7638,-88.2902
Fort Lauderdale,FL,26.1412,-80.1464
Vallejo,CA,38.1125,-122.2342
Murfreesboro,TN,35.8490,-86.4121
Spring Hill,FL,28.4798,-82.5300
Tempe,AZ,33.3881,-111.9319
High Point,NC,35.9910,-79.9937
Medford,OR,42.3372,-122.8540
Danbury,CT,41.4015,-73.4709
Elk Grove,CA,38.4161,-121.3842
Ontario,CA,34.0393,-117.6064
Frederick,MD,39.4337,-77.4141
Vero Beach South,FL,27.6132,-80.4163
Ocala,FL,29.1780,-82.1511
Oceanside,CA,33.2247,-117.3083
Rancho Cucamonga,CA,34.1247,-117.5667
Garden Grove,CA,33.7787,-117.9601
Cary,NC,35.7819,-78.8195
Pembroke Pines,FL,26.0128,-80.3382
Bayamón,PR,18.3794,-66.1635
Palmdale,CA,34.5944,-118.1057
Manchester,NH,42.9848,-71.4447
Lafayette,IN,40.3991,-86.8593
Santa Cruz,CA,36.9789,-122.0346
Marysville,WA,48.0809,-122.1561
Muskegon,MI,43.2281,-86.2562
Springfield,IL,39.7709,-89.6540
Hayward,CA,37.6328,-122.0766
New Bedford,MA,41.6697,-70.9428
Alexandria,VA,38.8185,-77.0861
Paterson,NJ,40.9147,-74.1624
Corona,CA,33.8616,-117.5649
Merced,CA,37.3057,-120.4779
Warner Robins,GA,32.5961,-83.6527
Port Arthur,TX,29.8554,-93.9264
Macon,GA,32.8065,-83.6974
Kansas City,KS,39.1235,-94.7443
Lakewood,CO,39.6977,-105.1172
Sunnyvale,CA,37.3836,-122.0255
Fredericksburg,VA,38.2992,-77.4872
Leesburg,FL,28.7672,-81.8962
Champaign,IL,40.1142,-88.2737
Hollywood,FL,26.0293,-80.1679
Pasadena,TX,29.6575,-95.1498
Pomona,CA,34.0585,-117.7626
Escondido,CA,33.1348,-117.0723
Joliet,IL,41.5188,-88.1499
Lake Charles,LA,30.2010,-93.2111
Mesquite,TX,32.7602,-96.5865
Mauldin,SC,34.7821,-82.3032
Panama City,FL,30.1995,-85.6003
Bellevue,WA,47.5951,-122.1535
Naperville,IL,41.7480,-88.1659
Harlingen,TX,26.1916,-97.6977
Tuscaloosa,AL,33.2348,-87.5268
Elkhart,IN,41.6916,-85.9627
Torrance,CA,33.8346,-118.3416
Ramapo,NY,41.1404,-74.1072
Binghamton,NY,42.1014,-75.9093
Houma,LA,29.5800,-90.7059
Topeka,KS,39.0346,-95.6955
Roseville,CA,38.7703,-121.3196
Fairfield,CA,38.2583,-122.0335
Tyler,TX,32.3184,-95.3062
Fullerton,CA,33.8841,-117.9279
Pueblo,CO,38.2701,-104.6114
Athens,GA,33.9508,-83.3689
Santa Maria,CA,34.9333,-120.4431
Surprise,AZ,33.6815,-112.4515
Charleston,WV,38.3484,-81.6322
Las Cruces,NM,32.3265,-106.7893
Metairie,LA,29.9977,-90.1780
Thornton,CO,39.9197,-104.9438
Olathe,KS,38.8833,-94.8200
Carolina,PR,18.4054,-65.9792
Gainesville,GA,34.2902,-83.8294
West Valley City,UT,40.6886,-112.0123
Orange,CA,33.8038,-117.8218
Warren,MI,42.4934,-83.0270
Pasadena,CA,34.1597,-118.1390
Beaumont,TX,30.0849,-94.1451
Burlington,NC,36.0760,-79.4685
Hampton,VA,37.0551,-76.3630
Columbia,MO,38.9472,-92.3268
Yuma,AZ,32.5995,-114.5491
Elizabeth,NJ,40.6658,-74.1913
Racine,WI,42.7274,-87.8135
Greeley,CO,40.4152,-104.7706
Kent,WA,47.3887,-122.2128
Stamford,CT,41.1039,-73.5585
Odessa,TX,31.8801,-102.3448
Bloomington,IL,40.4757,-88.9703
Miramar,FL,25.9773,-80.3351
Grand Junction,CO,39.0877,-108.5673
Sterling Heights,MI,42.5809,-83.0305
Coral Springs,FL,26.2702,-80.2591
Johnson City,TN,36.3406,-82.3806
Carrollton,TX,32.9890,-96.8999
Midland,TX,32.0243,-102.1147
Yakima,WA,46.5923,-120.5496
Lakewood,NJ,40.0763,-74.2031
Bellingham,WA,48.7548,-122.4690
Yuba City,CA,39.1357,-121.6383
Amherst,NY,43.0117,-78.7570
South Lyon,MI,42.4614,-83.6526
Santa Clara,CA,37.3646,-121.9680
St. George,UT,37.0758,-113.5752
Fort Smith,AR,35.3495,-94.3695
Simi Valley,CA,34.2663,-118.7490
Dover,DE,39.1610,-75.5202
Norman,OK,35.2335,-97.3471
Abilene,TX,32.4543,-99.7384
Billings,MT,45.7891,-108.5526
Ponce,PR,18.0127,-66.6212
Lehigh Acres,FL,26.6120,-81.6388
St. Cloud,MN,45.5340,-94.1718
Arecibo,PR,18.4491,-66.7387
Kenosha,WI,42.5865,-87.8773
Greenville,NC,35.5943,-77.3760
Arvada,CO,39.8320,-105.1510
Pearland,TX,29.5581,-95.3218
Independence,MO,39.0871,-94.3501
Texas City,TX,29.4154,-94.9682
Redding,CA,40.5698,-122.3650
Lynchburg,VA,37.4003,-79.1909
Boulder,CO,40.0248,-105.2524
Iowa City,IA,41.6559,-91.5303
Rochester,MN,44.0154,-92.4780
Berkeley,CA,37.8722,-122.2760
Waldorf,MD,38.6085,-76.9194
The Villages,FL,28.9034,-81.9887
Duluth,MN,46.7756,-92.1393
East Los Angeles,CA,34.0326,-118.1691
Saginaw,MI,43.4199,-83.9501
Clovis,CA,36.8278,-119.6830
Leominster,MA,42.5209,-71.7717
Round Rock,TX,30.5270,-97.6642
Monroe,LA,32.5185,-92.0774
Cambridge,MA,42.3759,-71.1185
Clearwater,FL,27.9790,-82.7623
Smithtown,NY,40.8663,-73.2164
Seaside,CA,36.6224,-121.8199
West Jordan,UT,40.6024,-112.0008
Richardson,TX,32.9716,-96.7093
West Palm Beach,FL,26.7469,-80.1320
Temple,TX,31.1068,-97.3891
Burlington,VT,44.4876,-73.2316
Richmond,CA,37.9477,-122.3389
Westminster,CO,39.8837,-105.0624
Pottstown,PA,40.2508,-75.6445
Brandon,FL,27.9367,-82.3000
Rock Hill,SC,34.9415,-81.0241
Meridian,ID,43.6116,-116.3977
Coeur d'Alene,ID,47.7040,-116.7936
Carlsbad,CA,33.1246,-117.2834
Lowell,MA,42.6389,-71.3217
Waterloo,IA,42.4918,-92.3522
North Charleston,SC,32.9067,-80.0722
Gilroy,CA,37.0046,-121.5854
Downey,CA,33.9379,-118.1311
Gresham,OR,45.5021,-122.4413
Elgin,IL,42.0383,-88.3240
Utica,NY,43.0962,-75.2261
Broken Arrow,OK,36.0380,-95.7806
Costa Mesa,CA,33.6667,-117.9135
Chico,CA,39.7578,-121.8161
Sioux City,IA,42.4959,-96.3901
League City,TX,29.4874,-95.1087
Miami Gardens,FL,25.9433,-80.2426
Pompano Beach,FL,26.2428,-80.1312
San Buenaventura,CA,34.2741,-119.2314
Everett,WA,47.9525,-122.1669
El Centro,CA,32.7865,-115.5595
Sugar Land,TX,29.5935,-95.6358
El Monte,CA,34.0739,-118.0291
Lewisville,TX,33.0454,-96.9815
West Covina,CA,34.0555,-117.9113
Temecula,CA,33.4928,-117.1315
Bend,OR,44.0563,-121.3095
Salisbury,MD,38.3756,-75.5865
Jacksonville,NC,34.7289,-77.3941
Inglewood,CA,33.9566,-118.3444
Dearborn,MI,42.3127,-83.2130
Centennial,CO,39.5926,-104.8673
Burbank,CA,34.1879,-118.3235
Edison,NJ,40.5360,-74.3697
Sparks,NV,39.5736,-119.7161
Sandy Springs,GA,33.9366,-84.3703
Bloomington,IN,39.1637,-86.5257
Logan,UT,41.7399,-111.8422
Kailua,HI,21.3920,-157.7396
El Cajon,CA,32.8017,-116.9604
Hillsboro,OR,45.5273,-122.9360
South Fulton,GA,33.6273,-84.5800
Renton,WA,47.4784,-122.1918
Mandeville,LA,30.3751,-90.0904
San Mateo,CA,37.5522,-122.3121
Columbia,MD,39.2004,-76.8590
Daly City,CA,37.6862,-122.4685
Davie,FL,26.0789,-80.2870
Jurupa Valley,CA,34.0010,-117.4706
Brockton,MA,42.0821,-71.0242
Longmont,CO,40.1686,-105.1005
Rialto,CA,34.1175,-117.3892
San Germán,PR,18.0827,-67.0460
Eau Claire,WI,44.8197,-91.4948
Turlock,CA,37.5053,-120.8588
Woodbridge,NJ,40.5611,-74.2943
Norwalk,CA,33.9069,-118.0829
Highlands Ranch,CO,39.5419,-104.9708
Allen,TX,33.1088,-96.6735
Wichita Falls,TX,33.9072,-98.5291
Rio Rancho,NM,35.2873,-106.6982
Vacaville,CA,38.3587,-121.9673
Spokane Valley,WA,47.6626,-117.2346
Charlottesville,VA,38.0375,-78.4855
Idaho Falls,ID,43.4871,-112.0362
Menifee,CA,33.6909,-117.1849
Lee's Summit,MO,38.9171,-94.3816
Quincy,MA,42.2506,-71.0187
San Angelo,TX,31.4424,-100.4504
Lynn,MA,42.4781,-70.9664
Holland,MI,42.7677,-86.0984
Federal Way,WA,47.3091,-122.3358
Manteca,CA,37.7927,-121.2264
Lafayette,CO,39.9946,-105.0998
Santa Fe,NM,35.6619,-105.9819
Hesperia,CA,34.3975,-117.3147
La Crosse,WI,43.8241,-91.2268
Riverview,FL,27.8227,-82.3023
Kingsport,TN,36.5224,-82.5454
Edinburg,TX,26.3196,-98.1597
Vista,CA,33.1896,-117.2386
Bowling Green,KY,36.9716,-86.4378
Carmel,IN,39.9650,-86.1460
Longview,TX,32.5193,-94.7622
Tracy,CA,37.7269,-121.4523
Prescott Valley,AZ,34.5980,-112.3185
Beaverton,OR,45.4779,-122.8168
Portsmouth,NH,43.0580,-70.7826
Portsmouth,VA,36.8468,-76.3540
Fishers,IN,39.9588,-85.9659
Greece,NY,43.2460,-77.6988
Orem,UT,40.2981,-111.6994
Sandy,UT,40.5709,-111.8506
Sunrise,FL,26.1547,-80.2997
San Tan Valley,AZ,33.1786,-111.5629
Compton,CA,33.8930,-118.2274
Arden-Arcade,CA,38.6017,-121.3845
Hanford,CA,36.3274,-119.6549
Boca Raton,FL,26.3752,-80.1080
Middletown,OH,39.5033,-84.3659
Livonia,MI,42.3972,-83.3733
Carson,CA,33.8374,-118.2559
Toms River,NJ,39.9895,-74.1654
Lawrence,KS,38.9597,-95.2642
Slidell,LA,30.2887,-89.7828
Greenburgh,NY,41.0330,-73.8412
Blacksburg,VA,37.2300,-80.4279
San Marcos,CA,33.1350,-117.1743
Goodyear,AZ,33.2614,-112.3622
Edmond,OK,35.6689,-97.4160
Mayagüez,PR,18.2003,-67.1397
Fall River,MA,41.7136,-71.1015
South Gate,CA,33.9447,-118.1926
Suffolk,VA,36.6953,-76.6398
Terre Haute,IN,39.4660,-87.3751
Missoula,MT,46.8751,-114.0214
Santa Monica,CA,34.0235,-118.4810
Roswell,GA,34.0391,-84.3513
Vineland,NJ,39.4653,-74.9981
Plantation,FL,26.1259,-80.2617
Alafaya,FL,28.5280,-81.1868
Kirkland,WA,47.6970,-122.2057
Hamilton,NJ,40.2046,-74.6765
Hoover,AL,33.3763,-86.8068
Westminster,CA,33.7523,-117.9938
Lawton,OK,34.6175,-98.4202
San Leandro,CA,37.7074,-122.1599
Auburn,AL,32.6087,-85.4903
Norwalk,CT,41.1144,-73.4215
O'Fallon,MO,38.7850,-90.7175
Chino,CA,33.9836,-117.6654
Germantown,MD,39.1755,-77.2643
Dover,NH,43.1887,-70.8845
Bismarck,ND,46.8143,-100.7694
Waukegan,IL,42.3698,-87.8716
Buckeye,AZ,33.4314,-112.6429
Town 'n' Country,FL,28.0106,-82.5763
Cheektowaga,NY,42.9082,-78.7466
Clifton,NJ,40.8630,-74.1575
Bloomington,MN,44.8306,-93.3151
Mount Pleasant,SC,32.8537,-79.8203
Florence,SC,34.1780,-79.7898
Newton,MA,42.3316,-71.2085
State College,PA,40.7909,-77.8567
Livermore,CA,37.6868,-121.7607
Rapid City,SD,44.0716,-103.2204
Decatur,IL,39.8557,-88.9342
Dalton,GA,34.7690,-84.9720
Conroe,TX,30.3238,-95.4824
Hawthorne,CA,33.9147,-118.3476
Lawrence,MA,42.7002,-71.1626
New Braunfels,TX,29.6994,-98.1148
Citrus Heights,CA,38.6948,-121.2880
Jackson,MI,42.2431,-84.4038
Whittier,CA,33.9678,-118.0188
Muncie,IN,40.1989,-85.3950
Troy,MI,42.5817,-83.1457
Clarkstown,NY,41.1319,-73.9660
Homosassa Springs,FL,28.8119,-82.5392
Port Huron,MI,42.9821,-82.4388
Napa,CA,38.2975,-122.3010
Deerfield Beach,FL,26.3050,-80.1277
Springdale,AR,36.1901,-94.1574
Newport Beach,CA,33.6151,-117.8668
Anderson,IN,40.0891,-85.6892
San Ramon,CA,37.7624,-121.9365
Lake Forest,CA,33.6605,-117.6714
Colonie,NY,42.7396,-73.7874
Mission,TX,26.2039,-98.3256
Auburn,WA,47.3039,-122.2108
Brooklyn Park,MN,45.1112,-93.3505
Bryan,TX,30.6650,-96.3807
Springfield,OH,39.9300,-83.7959
Hattiesburg,MS,31.3074,-89.3170
Upper Darby,PA,39.9490,-75.2891
Westland,MI,42.3192,-83.3805
Cicero,IL,41.8445,-87.7593
Albany,GA,31.5776,-84.1762
Fort Myers,FL,26.6194,-81.8302
Pine Hills,FL,28.5818,-81.4692
Atascocita,TX,29.9777,-95.1953
Buena Park,CA,33.8572,-118.0046
Redwood City,CA,37.5025,-122.2253
Farmington Hills,MI,42.4860,-83.3771
Alton,IL,38.9037,-90.1520
Melbourne,FL,28.1086,-80.6627
Miami Beach,FL,25.8171,-80.1396
Alhambra,CA,34.0840,-118.1355
Williamsburg,VA,37.2693,-76.7076
Madera,CA,36.9630,-120.0778
Warwick,RI,41.7062,-71.4334
Cranston,RI,41.7658,-71.4858
Baytown,TX,29.7587,-94.9671
Largo,FL,27.9088,-82.7712
Silver Spring,MD,39.0028,-77.0207
Lakewood,CA,33.8471,-118.1222
Mountain View,CA,37.4001,-122.0796
Kankakee,IL,41.1020,-87.8643
Johns Creek,GA,34.0333,-84.2027
Flagstaff,AZ,35.1872,-111.6194
Franklin,TN,35.9200,-86.8516
Joplin,MO,37.0757,-94.5018
Parma,OH,41.3843,-81.7286
Layton,UT,41.0770,-111.9620
New Rochelle,NY,40.9304,-73.7836
Anderson,SC,34.5211,-82.6478
Lebanon,PA,40.3412,-76.4228
Somerville,MA,42.3908,-71.1014
Yauco,PR,18.0344,-66.8615
St. Joseph,MO,39.7598,-94.8210
Plymouth,MN,45.0225,-93.4617
Tustin,CA,33.7311,-117.8107
Zephyrhills,FL,28.2409,-82.1797
Milpitas,CA,37.4336,-121.8921
Florence,AL,34.8303,-87.6655
Pleasanton,CA,37.6663,-121.8805
Boynton Beach,FL,26.5281,-80.0811
Texarkana,TX,33.4500,-94.0847
Folsom,CA,38.6668,-121.1422
Bellflower,CA,33.8880,-118.1271
Pharr,TX,26.1685,-98.1904
Homestead,FL,25.4665,-80.4472
Valdosta,GA,30.8502,-83.2788
Upland,CA,34.1178,-117.6604
Evanston,IL,42.0464,-87.6943
Newark,OH,40.0706,-82.4250
Elizabethtown,KY,37.7031,-85.8773
St. Augustine,FL,29.8976,-81.3100
Rancho Cordova,CA,38.5737,-121.2527
Alameda,CA,37.7668,-122.2670
Chino Hills,CA,33.9508,-117.7254
Perris,CA,33.7898,-117.2233
Schaumburg,IL,42.0308,-88.0838
Kendall,FL,25.6697,-80.3556
Camarillo,CA,34.2230,-119.0321
Anniston,AL,33.6712,-85.8135
Sumter,SC,33.9392,-80.3930
Jonesboro,AR,35.8212,-90.6791
Hammond,IN,41.6168,-87.4909
Carmichael,CA,38.6318,-121.3263
Arlington Heights,IL,42.0955,-87.9826
Morgantown,WV,39.6383,-79.9464
Wyoming,MI,42.8908,-85.7066
Cheyenne,WY,41.1350,-104.7902
Pasco,WA,46.2506,-119.1305
Watsonville,CA,36.9206,-121.7708
Southfield,MI,42.4765,-83.2605
Wausau,WI,44.9620,-89.6459
Rochester Hills,MI,42.6645,-83.1563
Loveland,CO,40.4166,-105.0623
Alexandria,LA,31.2923,-92.4702
Pittsburg,CA,38.0182,-121.8965
Hammond,LA,30.5061,-90.4563
South Jordan,UT,40.5570,-111.9784
Battle Creek,MI,42.2985,-85.2296
Bethlehem,PA,40.6266,-75.3679
Fajardo,PR,18.3331,-65.6589
Davis,CA,38.5553,-121.7370
Apple Valley,CA,34.5352,-117.2109
Pawtucket,RI,41.8744,-71.3743
Wheeling,WV,40.0752,-80.6951
Flower Mound,TX,33.0343,-97.1146
Harrisonburg,VA,38.4362,-78.8735
Cedar Park,TX,30.5105,-97.8197
Oshkosh,WI,44.0227,-88.5619
Winchester,VA,39.1735,-78.1746
Caguas,PR,18.2319,-66.0388
Ellicott City,MD,39.2774,-76.8345
Pocatello,ID,42.8724,-112.4647
Hilton Head Island,SC,32.1896,-80.7499
Cherry Hill,NJ,39.9034,-74.9947
New Britain,CT,41.6759,-72.7862
Mansfield,OH,40.7656,-82.5275
Woodbury,MN,44.9057,-92.9230
Lauderhill,FL,26.1605,-80.2241
Lehi,UT,40.4136,-111.8725
Bolingbrook,IL,41.6901,-88.1021
Brick,NJ,40.0600,-74.1099
Dale City,VA,38.6473,-77.3459
Missouri City,TX,29.5630,-95.5365
Lake Jackson,TX,29.0516,-95.4521
Altoona,PA,40.5082,-78.4007
Doral,FL,25.8152,-80.3565
Owensboro,KY,37.7575,-87.1172
Centreville,VA,38.8390,-77.4389
Mount Vernon,NY,40.9136,-73.8291
Baldwin Park,CA,34.0829,-117.9722
Broomfield,CO,39.9542,-105.0526
Redlands,CA,34.0512,-117.1712
Cleveland,TN,35.1817,-84.8707
Dothan,AL,31.2336,-85.4070
Camden,NJ,39.9361,-75.1073
